Ticker,Upside_Score,Price,Stop_Loss,Risk_Share,Position_Size,Profit_Target,Reward_Risk_Ratio,Upside_Potential%,ADX,RSI,Volume_Ratio,ATR,Rank
NEPH,96.8,4.25,3.55,0.7,287.0,5.65,2.0,32.8,25.3,60.0,1.5,0.47,1
ARCT,67.2,19.48,17.43,2.05,97.0,23.59,2.0,21.1,29.4,75.4,1.7,1.37,2
HLLY,64.1,3.56,3.27,0.29,689.0,4.14,2.0,16.3,37.7,78.2,1.6,0.19,3
CDE,56.7,11.69,10.94,0.75,265.0,13.2,2.0,12.9,31.0,73.4,2.8,0.5,4
USAS,56.4,0.94,0.84,0.1,1935.0,1.15,2.0,22.0,26.3,46.2,1.6,0.07,5
SSRM,56.2,16.78,15.8,0.98,203.0,18.75,2.0,11.7,33.2,76.2,1.5,0.66,6
EFXT,35.1,9.59,9.05,0.54,368.0,10.68,2.0,11.3,30.7,73.8,1.7,0.36,7
SPTN,33.7,26.52,26.4,0.12,1689.0,26.76,2.0,0.9,59.4,70.1,1.7,0.08,8
MAG,29.3,23.06,22.15,0.91,219.0,24.88,2.0,7.9,26.0,63.6,7.1,0.61,9
MSB,24.5,31.79,29.49,2.3,87.0,36.38,2.0,14.5,41.1,67.6,2.7,1.53,10
MLNK,16.1,19.8,18.9,0.9,222.0,21.6,2.0,9.1,26.1,74.9,1.5,0.6,11
SPOK,8.7,18.41,17.57,0.84,239.0,20.08,2.0,9.1,29.3,57.5,3.0,0.56,12
MITK,2.7,10.03,9.56,0.47,429.0,10.96,2.0,9.3,26.9,62.1,1.8,0.31,13
